Index Name,Date,Open,High,Low,Close
NIFTY 50,2025-01-23,24253.55,24351.55,24135.45,24221.9
NIFTY 50,2025-01-24,24343.3,24343.3,24125.4,24194.5
NIFTY 50,2025-01-25,24204.8,24354.55,24145.65,24274.9
NIFTY 50,2025-01-26,24274.15,24345.75,23873.35,23914.15
NIFTY 50,2025-01-27,23927.15,24188.45,23927.15,24131.1
NIFTY 50,2025-01-28,24140.85,24301.7,24008.65,24276.05
NIFTY 50,2025-01-29,24367.5,24481.35,24280,24457.15
NIFTY 50,2025-01-30,24488.75,24573.2,24366.3,24467.45
NIFTY 50,2025-01-31,24539.15,24857.75,24295.55,24708.4
NIFTY 50,2025-02-01,24729.45,24751.05,24620.5,24677.8
NIFTY 50,2025-02-02,24633.9,24705,24580.05,24619
NIFTY 50,2025-02-03,24652.65,24677.8,24510.65,24610.05
NIFTY 50,2025-02-04,24620.5,24691.75,24583.85,24641.8
NIFTY 50,2025-02-05,24604.45,24675.25,24527.95,24548.7
NIFTY 50,2025-02-06,24498.35,24792.3,24180.8,24768.3
NIFTY 50,2025-02-07,24753.4,24781.25,24601.75,24668.25
NIFTY 50,2025-02-08,24584.8,24624.1,24303.45,24336
NIFTY 50,2025-02-09,24297.95,24394.45,24149.85,24198.85
NIFTY 50,2025-02-10,23877.15,24004.9,23870.3,23951.7
NIFTY 50,2025-02-11,23960.7,24065.8,23537.35,23587.5
NIFTY 50,2025-02-12,23738.2,23869.55,23647.2,23753.45
NIFTY 50,2025-02-13,23769.1,23867.65,23685.15,23727.65
NIFTY 50,2025-02-14,23775.8,23854.5,23653.6,23750.2
NIFTY 50,2025-02-15,23801.4,23938.85,23800.6,23813.4
NIFTY 50,2025-02-16,23796.9,23915.35,23599.3,23644.9
NIFTY 50,2025-02-17,23560.6,23689.85,23460.45,23644.8
